S1:  101;PartNo:49;  casid:00000000cea00061	Time:2024-11-18 15:58:49
S2:  102;PartNo:49;  casid:00000000cea00062	Time:2024-11-18 15:58:49
S3:  103;PartNo:49;  casid:00000000cea00063	Time:2024-11-18 15:58:49
S4:  104;PartNo:49;  casid:00000000cea00064	Time:2024-11-18 15:58:49
S1:  105;PartNo:49;  casid:00000000cea00065	Time:2024-11-18 15:58:57
S2:  106;PartNo:49;  casid:00000000cea00066	Time:2024-11-18 15:58:57
S3:  107;PartNo:49;  casid:00000000cea00067	Time:2024-11-18 15:58:57
S4:  108;PartNo:49;  casid:00000000cea00068	Time:2024-11-18 15:58:57
S1:  109;PartNo:49;  casid:00000000cea00069	Time:2024-11-18 15:59:05
S3:  110;PartNo:49;  casid:00000000cea0006a	Time:2024-11-18 15:59:05
S4:  111;PartNo:49;  casid:00000000cea0006b	Time:2024-11-18 15:59:05
S1:  112;PartNo:49;  casid:00000000cea0006c	Time:2024-11-18 15:59:12
S2:  113;PartNo:49;  casid:00000000cea0006d	Time:2024-11-18 15:59:12
S3:  114;PartNo:49;  casid:00000000cea0006e	Time:2024-11-18 15:59:12
S4:  115;PartNo:49;  casid:00000000cea0006f	Time:2024-11-18 15:59:12
S1:  116;PartNo:49;  casid:00000000cea00070	Time:2024-11-18 15:59:20
S2:  117;PartNo:49;  casid:00000000cea00071	Time:2024-11-18 15:59:20
S3:  118;PartNo:49;  casid:00000000cea00072	Time:2024-11-18 15:59:20
S4:  119;PartNo:49;  casid:00000000cea00073	Time:2024-11-18 15:59:20
S1:  120;PartNo:49;  casid:00000000cea00074	Time:2024-11-18 15:59:28
S2:  121;PartNo:49;  casid:00000000cea00075	Time:2024-11-18 15:59:28
S3:  122;PartNo:49;  casid:00000000cea00076	Time:2024-11-18 15:59:28
S4:  123;PartNo:49;  casid:00000000cea00077	Time:2024-11-18 15:59:28
S1:  124;PartNo:49;  casid:00000000cea00078	Time:2024-11-18 15:59:36
S2:  125;PartNo:49;  casid:00000000cea00079	Time:2024-11-18 15:59:36
S3:  126;PartNo:49;  casid:00000000cea0007a	Time:2024-11-18 15:59:36
S4:  127;PartNo:49;  casid:00000000cea0007b	Time:2024-11-18 15:59:36
S1:  128;PartNo:49;  casid:00000000cea0007c	Time:2024-11-18 15:59:43
S2:  129;PartNo:49;  casid:00000000cea0007d	Time:2024-11-18 15:59:43
S3:  130;PartNo:49;  casid:00000000cea0007e	Time:2024-11-18 15:59:43
S4:  131;PartNo:49;  casid:00000000cea0007f	Time:2024-11-18 15:59:43
S1:  132;PartNo:49;  casid:00000000cea00080	Time:2024-11-18 15:59:51
S2:  133;PartNo:49;  casid:00000000cea00081	Time:2024-11-18 15:59:51
S3:  134;PartNo:49;  casid:00000000cea00082	Time:2024-11-18 15:59:51
S4:  135;PartNo:49;  casid:00000000cea00083	Time:2024-11-18 15:59:51
S1:  136;PartNo:49;  casid:00000000cea00084	Time:2024-11-18 15:59:59
S2:  137;PartNo:49;  casid:00000000cea00085	Time:2024-11-18 15:59:59
S3:  138;PartNo:49;  casid:00000000cea00086	Time:2024-11-18 15:59:59
S4:  139;PartNo:49;  casid:00000000cea00087	Time:2024-11-18 15:59:59
S1:  140;PartNo:49;  casid:00000000cea00088	Time:2024-11-18 16:00:07
S2:  141;PartNo:49;  casid:00000000cea00089	Time:2024-11-18 16:00:07
S3:  142;PartNo:49;  casid:00000000cea0008a	Time:2024-11-18 16:00:07
S4:  143;PartNo:49;  casid:00000000cea0008b	Time:2024-11-18 16:00:07
